player,nation,pos,squad,comp,age,born,mp,starts,min,90s,ga,ga90,sota,saves,save%,w,d,l,cs,cs%,pkatt,pka,pksv,pkm,pk_save%
Rubén Blanco,ESP,GK,Marseille,Ligue 1,27,1995,6,6,495,5.5,6.0,1.09,19.0,15.0,68.4,1,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Janis Blaswich,FRA,GK,RB Leipzig,Bundesliga,31,1991,26,26,2340,26.0,29.0,1.12,75.0,45.0,69.3,16,4.0,6.0,7.0,26.9,7.0,6.0,1.0,0.0,14.3
Joaquín Blázquez,ARG,GK,Brest,Ligue 1,21,2001,1,1,90,1.0,0.0,0.0,3.0,3.0,100.0,0,1.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0
Yassine Bounou,SCO,GK,Sevilla,La Liga,31,1991,25,25,2151,23.9,41.0,1.72,106.0,66.0,63.2,7,6.0,12.0,4.0,16.0,3.0,2.0,1.0,0.0,33.3
Claudio Bravo,USA,GK,Betis,La Liga,39,1983,12,12,1080,12.0,9.0,0.75,42.0,33.0,81.0,5,5.0,2.0,4.0,33.3,1.0,1.0,0.0,0.0,0.0
Fabian Bredlow,ARM,GK,Stuttgart,Bundesliga,27,1995,15,15,1350,15.0,23.0,1.53,59.0,37.0,69.5,4,5.0,6.0,1.0,6.7,5.0,5.0,0.0,0.0,0.0
Marcin Bułka,ENG,GK,Nice,Ligue 1,22,1999,2,2,180,2.0,2.0,1.0,6.0,4.0,66.7,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Juan Carlos,FRA,GK,Girona,La Liga,34,1988,10,10,900,10.0,18.0,1.8,43.0,25.0,62.8,2,2.0,6.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0
Marco Carnesecchi,GER,GK,Cremonese,Serie A,22,2000,27,27,2430,27.0,47.0,1.74,153.0,107.0,70.6,4,9.0,14.0,4.0,14.8,2.0,2.0,0.0,0.0,0.0
Matis Carvalho,FRA,GK,Montpellier,Ligue 1,23,1999,2,1,136,1.5,3.0,1.99,8.0,5.0,62.5,0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0
Koen Casteels,FRA,GK,Wolfsburg,Bundesliga,30,1992,34,34,3060,34.0,48.0,1.41,147.0,101.0,70.1,13,10.0,11.0,12.0,35.3,7.0,4.0,1.0,2.0,20.0
Michele Cerofolini,SUI,GK,Fiorentina,Serie A,23,1999,5,5,450,5.0,3.0,0.6,11.0,8.0,81.8,4,1.0,0.0,2.0,40.0,1.0,1.0,0.0,0.0,0.0
Leonardo César Jardim,GHA,GK,Lille,Ligue 1,27,1995,6,6,540,6.0,13.0,2.17,15.0,4.0,26.7,3,1.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0
Lucas Chevalier,CIV,GK,Lille,Ligue 1,20,2001,32,32,2880,32.0,31.0,0.97,105.0,76.0,72.4,16,9.0,7.0,10.0,31.3,3.0,2.0,1.0,0.0,33.3
Oliver Christensen,ESP,GK,Hertha BSC,Bundesliga,23,1999,33,33,2970,33.0,68.0,2.06,163.0,94.0,61.3,6,8.0,19.0,3.0,9.1,6.0,5.0,1.0,0.0,16.7
Andrea Consigli,FRA,GK,Sassuolo,Serie A,35,1987,35,35,3150,35.0,55.0,1.57,117.0,64.0,55.6,12,8.0,15.0,9.0,25.7,3.0,3.0,0.0,0.0,0.0
Alex Cordaz,GER,GK,Inter,Serie A,39,1983,1,0,26,0.3,0.0,0.0,2.0,2.0,100.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Benoît Costil,ESP,GK,Auxerre,Ligue 1,35,1987,19,19,1710,19.0,41.0,2.16,96.0,55.0,60.4,3,4.0,12.0,2.0,10.5,3.0,3.0,0.0,0.0,0.0
Thibaut Courtois,COL,GK,Real Madrid,La Liga,30,1992,31,31,2790,31.0,29.0,0.94,118.0,88.0,78.8,20,5.0,6.0,10.0,32.3,5.0,4.0,1.0,0.0,20.0
Alessio Cragno,MAR,GK,Monza,Serie A,28,1994,1,1,90,1.0,3.0,3.0,5.0,2.0,40.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Finn Dahmen,FRA,GK,Mainz 05,Bundesliga,24,1998,8,8,720,8.0,16.0,2.0,44.0,26.0,65.9,3,2.0,3.0,0.0,0.0,3.0,1.0,2.0,0.0,66.7
Rémy Descamps,FRA,GK,Nantes,Ligue 1,26,1996,1,1,90,1.0,1.0,1.0,6.0,5.0,83.3,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
