player,nation,pos,squad,comp,age,born,90s,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp
Raúl Albiol,ESP,DF,Villarreal,La Liga,36,1985,23.5,1303.0,1472.0,88.5,28074.0,10667.0,321.0,349.0,92.0,757.0,811.0,93.3,215.0,287.0,74.9,0,0.0,0.5,0.0,2.0,98.0,5.0,0.0,100.0
Marc Albrighton,ENG,DF,Leicester City,Premier League,32,1989,2.6,89.0,148.0,60.1,1440.0,551.0,48.0,60.0,80.0,23.0,34.0,67.6,12.0,34.0,35.3,0,0.9,0.4,-0.9,6.0,6.0,5.0,2.0,7.0
Thiago Alcántara,ESP,MF,Liverpool,Premier League,31,1991,13.9,946.0,1097.0,86.2,17219.0,4988.0,433.0,466.0,92.9,346.0,392.0,88.3,136.0,172.0,79.1,0,1.1,1.3,-1.1,17.0,110.0,20.0,1.0,120.0
Carlos Alcaraz,ARG,MF,Southampton,Premier League,19,2002,11.4,222.0,290.0,76.6,3147.0,669.0,114.0,137.0,83.2,80.0,95.0,84.2,8.0,19.0,42.1,2,0.7,0.7,1.3,5.0,20.0,6.0,0.0,28.0
Rubén Alcaraz,ESP,MF,Cádiz,La Liga,31,1991,22.7,827.0,1046.0,79.1,16517.0,4831.0,331.0,386.0,85.8,340.0,388.0,87.6,138.0,219.0,63.0,0,1.3,1.2,-1.3,20.0,93.0,16.0,8.0,105.0
Omar Alderete,PAR,DF,Getafe,La Liga,25,1996,22.7,509.0,877.0,58.0,11252.0,5744.0,153.0,218.0,70.2,260.0,351.0,74.1,94.0,268.0,35.1,1,0.8,1.0,0.2,5.0,69.0,12.0,0.0,96.0
Iván Alejo,ESP,MF,Cádiz,La Liga,27,1995,14.6,219.0,392.0,55.9,3409.0,1108.0,128.0,173.0,74.0,55.0,111.0,49.5,24.0,61.0,39.3,1,2.4,1.6,-1.4,21.0,10.0,24.0,20.0,16.0
Doğan Alemdar,TUR,GK,Rennes,Ligue 1,19,2002,4.5,95.0,145.0,65.5,2786.0,2199.0,20.0,20.0,100.0,47.0,47.0,100.0,28.0,77.0,36.4,0,0.1,0.0,-0.1,1.0,2.0,0.0,0.0,0.0
Carles Aleñá,ESP,DF,Getafe,La Liga,24,1998,23.5,607.0,809.0,75.0,10256.0,2596.0,291.0,346.0,84.1,211.0,270.0,78.1,69.0,120.0,57.5,2,1.6,1.8,0.4,15.0,71.0,20.0,6.0,87.0
Trent Alexander-Arnold,ENG,DF,Liverpool,Premier League,23,1998,32.5,2188.0,2912.0,75.1,41590.0,16323.0,1000.0,1123.0,89.0,822.0,1045.0,78.7,331.0,642.0,51.6,9,11.5,9.1,-2.5,71.0,239.0,82.0,28.0,235.0
Alejandro Alfaro,ESP,MF,Elche,La Liga,20,2002,0.2,1.0,1.0,100.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ángel Algobia,ESP,MF,Getafe,La Liga,23,1999,12.6,420.0,521.0,80.6,7479.0,1575.0,179.0,211.0,84.8,173.0,197.0,87.8,52.0,82.0,63.4,0,0.6,0.3,-0.6,5.0,35.0,4.0,4.0,42.0
Mohamed Ali Cho,FRA,FW,Real Sociedad,La Liga,18,2004,6.5,108.0,165.0,65.5,1506.0,407.0,72.0,82.0,87.8,27.0,53.0,50.9,5.0,17.0,29.4,2,1.6,1.6,0.4,7.0,6.0,10.0,7.0,8.0
Faride Alidou,GER,MF,Eint Frankfurt,Bundesliga,21,2001,2.0,74.0,101.0,73.3,1164.0,410.0,38.0,41.0,92.7,33.0,46.0,71.7,2.0,9.0,22.2,1,0.5,0.3,0.5,3.0,8.0,7.0,3.0,16.0
Alisson,BRA,GK,Liverpool,Premier League,29,1992,37.0,1241.0,1453.0,85.4,29043.0,18696.0,307.0,309.0,99.4,657.0,666.0,98.6,273.0,469.0,58.2,1,0.3,0.0,0.7,1.0,16.0,0.0,0.0,3.0
